id,source_type,title,authors_or_organization,year,publisher_or_venue,doi,url,language,accessed_at,access_status,bibliographic_note
G11,handbook_background,McQuail's Media and Mass Communication Theory 7th edition contents,Denis McQuail and Mark Deuze|SAGE,2020,SAGE,,https://us.sagepub.com/sites/default/files/upm-assets/113187_book_item_113187.pdf,en,2026-09-11,metadata,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=理论、结构、组织、内容、受众、效果的纵向链条；原 notes=用于范围背景，不能作为统一课程标准
G12,handbook_background,Theories of Human Communication 13th edition,Stephen W. Littlejohn et al.|Waveland Press,2026,Waveland Press,,https://waveland.com/browse.php?t=270,en,2026-09-11,metadata,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=传播者、信息、媒介、关系、组织、健康、文化、社会与非人传播；原 notes=出版社目录证据
G13,handbook_background,A Handbook of Media and Communication Research 3rd edition,Klaus Bruhn Jensen|Routledge,2021,Routledge,,https://www.routledge.com/A-Handbook-of-Media-and-Communication-Research-Qualitative-and-Quantitative-Methodologies/Jensen/p/book/9781138492899,en,2026-09-11,metadata,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=人文与社会科学源流、组织文本用户语境及多元方法；原 notes=出版社目录证据
G14,normative_framework,Media and Information Literate Citizens: Think Critically Click Wisely,UNESCO|UNESCO,2021,UNESCO,,https://www.unesco.org/en/articles/media-and-information-literate-citizens-think-critically-click-wisely,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=媒体信息与数字素养、AI、数字公民、虚假信息与仇恨言论；原 notes=跨区应用能力来源
G15,normative_framework,Reporting on Artificial Intelligence: A Handbook for Journalism Educators,UNESCO|UNESCO,2023,UNESCO,,https://unesdoc.unesco.org/in/documentViewer.xhtml?ark=/ark:/48223/pf0000384551,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=AI定义、文化神话、政策、算法文化、恶意使用与负责任报道；原 notes=AI既是工具也是报道与治理对象
C01,normative_framework,教育部发布我国高等教育领域首个教学质量国家标准,教育部|中华人民共和国教育部,2018,中华人民共和国教育部,,https://www.moe.gov.cn/jyb_xwfb/xw_fbh/moe_2069/xwfbh_2018n/xwfb_20180130/sfcl/201801/t20180130_325920.html,zh-CN,2026-09-10,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=本科专业类国家标准的发布、作用与课程体系定位；原 notes=教育部正式说明；具体新闻传播课程须结合标准正文
C02,normative_framework,普通高等学校本科专业类教学质量国家标准（上）,教育部高等学校教学指导委员会|高等教育出版社,2018,高等教育出版社,,https://xuanshu.hep.com.cn/front/book/findBookDetails?bookId=5aa808c4f18f967ee7f36bde,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=新闻传播学类标准的正式出版信息；原 notes=具体页码使用高校镜像时需与正式出版信息联合
C03,normative_framework,普通高等学校本科专业类教学质量国家标准（上）PDF镜像,教育部高等学校教学指导委员会|南昌大学镜像,2018,南昌大学镜像,,https://shpg.ncu.edu.cn/docs/2024-03/52ff1e86364649e1b238a339a7f3e1ab.pdf,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=新闻学、传播学、新媒体、历史、伦理法规、方法、舆论、效果与受众等课程细目；原 notes=非教育部原始托管地址，须与C01和C02交叉使用
C04,normative_framework,卓越新闻传播人才教育培养计划2.0,教育部 中共中央宣传部|中华人民共和国教育部,2018,中华人民共和国教育部,,https://www.moe.gov.cn/srcsite/A08/s7056/201810/t20181017_351893.html,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=家国情怀、国际视野、全媒化、复合型、媒体融合和中国表达；原 notes=政策目标不能直接当作解释性理论
C05,normative_framework,普通高等学校本科专业目录（2025年）,教育部|中华人民共和国教育部,2025,中华人民共和国教育部,,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780837078.pdf,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=新闻传播学类法定专业边界；原 notes=只支持专业边界，不支持理论定义
C06,curriculum_current,清华大学新闻学专业本科培养方案,清华大学|清华大学,2020,清华大学,,https://www.tsinghua.edu.cn/jxjywj/bkzy2020_60.pdf,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播原理、新闻传播史、调查统计、伦理法规、数字技术、跨文化与国际新闻；原 notes=版本较早，需留意更新方案
C07,curriculum_current,中国人民大学新闻学院系部介绍,中国人民大学新闻学院|中国人民大学,2026,中国人民大学,,https://jcr.ruc.edu.cn/xygk/xbjs/index.htm,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播理论、数字媒体、公共传播、舆论、计算传播、文化产业与事实核查；原 notes=院系研究覆盖，不等同于本科必修
C08,curriculum_current,新闻传播学类专业2+X教学培养方案,复旦大学新闻学院|复旦大学,2022,复旦大学,,https://xwxy.fudan.edu.cn/_upload/article/files/24/1f/8337f248464082eab37f15e93de6/896c78f5-e2c5-4d7a-ae9a-78798a9dc973.pdf,zh-CN,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=新闻传播史论、方法、伦理、融合、数据、传播学各层次及丰富专题；原 notes=已打开23页PDF并核对课程表
C09,curriculum_current,传播学本科培养方案,新闻传播学院|北京师范大学,2026,北京师范大学,,https://sjc.bnu.edu.cn/rcpy/bkspy/112701.html,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播理论、方法、受众、伦理、新媒体、社交媒体、数据新闻与网络数据挖掘；原 notes=大学正式页面
C10,curriculum_current,新闻传播学类国际传播智能传播试验班培养方案,新闻与传播学院|武汉大学,2025,武汉大学,,https://journal.whu.edu.cn/uploadfiles/20260331v2b1q.pdf,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=人智交互、机器学习、大语言模型、计算传播、数据伦理、政治与跨文化传播；原 notes=动态课程需保留学年
C11,curriculum_current,传播学专业介绍,中国传媒大学新闻学院|中国传媒大学,2026,中国传媒大学,,https://xinwenxueyuan.cuc.edu.cn/rcpy/list.htm,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=人际传播、统计、社会科学方法、新媒体与社会、平台化环境；原 notes=大学正式页面
C12,discipline_taxonomy,中国新闻史学会分支机构,中国新闻史学会|中国新闻史学会,2026,中国新闻史学会,,https://www.jca-china.org/html/about/branch/,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播、舆论、公共关系、经济、法规伦理、国际、符号、计算、健康、少数民族及海外华文等研究领域；原 notes=学会设分支不等于领域已有成熟统一理论
C13,curriculum_current,中国新闻传播大讲堂,中宣部 教育部 中国记协指导|中国传媒大学,2026,中国传媒大学,,https://tvs.cuc.edu.cn/xwcbdjt/list.htm,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=马克思主义新闻观、国情、伦理、融合报道与一线实践；原 notes=教学案例节点
C14,handbook_background,传播学概论,胡正荣等|高等教育出版社,2026,高等教育出版社,,https://www.hep.com.cn/book/show/68cffdab-d135-463e-b45d-654d5b9a2490,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=传播史、经典理论、过程、媒介、受众、效果、产业与前沿；原 notes=本科教材目录
C15,handbook_background,中国新闻传播史,教材编写组|高等教育出版社,2021,高等教育出版社,,https://xuanshu.hep.com.cn/front/book/findBookDetails?bookId=5efa23cab0b2bda7c523cbcb,zh-CN,2026-09-11,excerpt,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=古代至改革开放及港澳台新闻传播史的教学范围；原 notes=官网当前显示出版时间2021-08-26、ISBN 978-7-04-054419-0；已核简介与目录；具体人物节点仍需史料
C16,discipline_history,理论谱系与本土探索：新中国传播学理论研究70年,刘涛|新闻与传播研究,2019,新闻与传播研究,,https://www.cssn.cn/xwcbx/__deleted_2022.12.31_13.46.18__xwcbx_xkqy/202208/t20220802_5440270.shtml,zh-CN,2026-09-10,metadata,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=中国传播学的译介、发展、批判与本土探索；十六字方针和华夏传播线索；原 notes=学术史综述；本土理论成熟度需展示争议
G16,primary_scholarship,Encoding and Decoding in the Television Discourse,"Stuart Hall|Centre for Contemporary Cultural Studies, University of Birmingham",1973,"Centre for Contemporary Cultural Studies, University of Birmingham",,https://epapers.bham.ac.uk/id/eprint/2962/,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=作者、年份、机构和原文档案；命题需逐页定位；原 notes=伯明翰大学机构仓储已核；17MB PDF 本轮超时
G17,primary_scholarship,The Agenda-Setting Function of Mass Media,Maxwell E. McCombs and Donald L. Shaw|Public Opinion Quarterly; Oxford University Press,1972,Public Opinion Quarterly; Oxford University Press,10.1086/267990,https://doi.org/10.1086/267990,en,2026-09-11,abstract,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=作者、研究语境与摘要中的议题显著性命题；样本数、页码和表格待全文核验；原 notes=出版者页面已核摘要；不代表后续扩展
G18,primary_scholarship,The Gate Keeper: A Case Study in the Selection of News,David Manning White|Journalism Quarterly; SAGE,1950,Journalism Quarterly; SAGE,10.1177/107769905002700403,https://doi.org/10.1177/107769905002700403,en,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=电讯稿选用与拒绝的七日个案、编辑理由分析及出版信息；原 notes=不能单独支持 Lewin 的概念来源
G19,primary_scholarship,The Structural Transformation of the Public Sphere: An Inquiry into a Category of Bourgeois Society,Jürgen Habermas|The MIT Press,1991,The MIT Press,,https://mitpress.mit.edu/9780262581080/the-structural-transformation-of-the-public-sphere/,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=英译本书目、作者与公共意见的历史社会学研究范围；原 notes=具体定义和批评需原文与二手学术文献
G20,primary_scholarship,"Content Analysis: An Introduction to Its Methodology, Fourth Edition",Klaus Krippendorff|SAGE Publications,2018,SAGE Publications,,https://uk.sagepub.com/en-gb/afr/content-analysis/book258450,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=内容分析的当代方法论范围、文本与传播语境；原 notes=出版社书目已核；实施细节需页码定位
G21,official_record,Stuart Hall,University of Birmingham|University of Birmingham,2014,University of Birmingham,,https://www.birmingham.ac.uk/research/perspective/stuart-hall-hilton-and-connell,en,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=霍尔在 CCCS 的身份、文化研究关联及编码解码线索；原 notes=适合履历与机构关系；理论命题以 G16 为主
G22,primary_scholarship,Frontiers in Group Dynamics II: Channels of Group Life; Social Planning and Action Research,Kurt Lewin|Human Relations; SAGE,1947,Human Relations; SAGE,10.1177/001872674700100201,https://doi.org/10.1177/001872674700100201,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=渠道、门和守门人的一般社会生活概念来源；原 notes=只支持概念前史，不是成熟新闻把关理论
G23,primary_scholarship,The Public Sphere: An Encyclopedia Article (1964),Jürgen Habermas|New German Critique,1974,New German Critique,10.2307/487737,https://doi.org/10.2307/487737,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=公共领域的简明定义、公众讨论及其制度条件；原 notes=须在可访问正文中定位具体段落
G24,primary_scholarship,Cultural Studies: Two Paradigms,"Stuart Hall|Media, Culture & Society; SAGE",1980,"Media, Culture & Society; SAGE",10.1177/016344378000200106,https://doi.org/10.1177/016344378000200106,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=文化主义与结构主义两条思想路线及其张力；原 notes=不支持 Hall 单独创立整个文化研究学科
G25,primary_scholarship,Content Analysis in Mass Communication: Assessment and Reporting of Intercoder Reliability,Matthew Lombard; Jennifer Snyder-Duch; Cheryl Campanella Bracken|Human Communication Research,2002,Human Communication Research,10.1111/j.1468-2958.2002.tb00826.x,https://doi.org/10.1111/j.1468-2958.2002.tb00826.x,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=编码者间一致性的评估与报告是内容分析质量控制要求；原 notes=不支持所有研究都必须使用同一系数或阈值
C17,discipline_history,构建新时代中国新闻传播学,胡正荣|全国哲学社会科学工作办公室,2020,全国哲学社会科学工作办公室,,https://www.nopss.gov.cn/n1/2020/0221/c219470-31598110.html,zh-CN,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=改革开放后中国传播学发展、1982 年座谈会与十六字方针；原 notes=仍应继续寻找 1982 年会议原始记录
C18,official_record,实践中的马克思主义新闻观案例教材出版,新华社|中华人民共和国教育部,2015,中华人民共和国教育部,,https://www.moe.gov.cn/jyb_xwfb/s5147/201501/t20150104_182648.html,zh-CN,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=中宣部、教育部组织编写案例教材及其教学用途；原 notes=官方搜索摘要已核；页面打开异常
C19,teaching_resource,马克思主义新闻观十二讲,本书编写组|高等教育出版社,2019,高等教育出版社,,https://xuanshu.hep.com.cn/front/h5Mobile/bookDetails?bookId=5b745f70f18f967ee7f375c8,zh-CN,2026-09-11,excerpt,原 source-register 字段：evidence_level=B-synthesis；evidence_status=partial；claims_supported=图书简介与目录所列的新闻真实、权利责任、法治道德、新技术与国际传播等教学范围；原 notes=已核出版社简介及目录，非全书正文；具体概念须用原著或可定位正文
C20,official_record,方汉奇：新闻研究应该始终坚持历史唯物主义,中国人民大学新闻网|中国人民大学,2017,中国人民大学,,https://news.ruc.edu.cn/703146243790278.html,zh-CN,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=方汉奇教学履历、学术职务、代表作与学术评价；原 notes=学术地位宜再用独立评价交叉
GA01,primary_scholarship,Encoding and Decoding in the Television Discourse [originally 1973; republished 2007],Stuart Hall,2018,Duke University Press,10.1515/9781478002413-014,https://doi.org/10.1515/9781478002413-014,en,2026-09-11,metadata,"原始 note: 用于可靠重印本书目信息；具体命题仍优先回到 G16 的1973年机构仓储原稿。；原始 access_status: bibliographic_record；container: *Essential Essays, Volume 1: Foundations of Cultural Studies*；editor: David Morley；pages: 257-276"
GA02,scholarly_synthesis,Medium Theory,Joshua Meyrowitz,2008,Wiley-Blackwell,10.1002/9781405186407.wbiecm064,https://doi.org/10.1002/9781405186407.wbiecm064,en,2026-09-11,abstract,原始 note: 直接支持 medium theory 与泛称媒体理论的边界及“媒介环境鼓励／抑制互动”的定义。；原始 locator_used: 摘要；References and Suggested Readings；原始 access_status: abstract_and_references；container: *The International Encyclopedia of Communication*；editor: Wolfgang Donsbach
GA03,primary_scholarship,The Bias of Communication,H. A. Innis,1949,"*The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique*, 15(4)",10.2307/138041,https://doi.org/10.2307/138041,en,2026-09-11,excerpt,"原始 note: 出版者页面给出可核对的文章信息与开篇原文。；原始 locator_used: p. 457，开篇段落；其他 URL: https://www.cambridge.org/core/journals/canadian-journal-of-economics-and-political-science-revue-canadienne-de-economiques-et-science-politique/article/abs/bias-of-communication/D2AF017715AA6CDE10ECCAEC4552E63B；原始 access_status: publisher_extract；venue: *The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique*, 15(4)；pages: 457-476"
GA04,primary_scholarship,*Understanding Media: The Extensions of Man*,Marshall McLuhan,1994,The MIT Press,,https://mitpress.mit.edu/9780262631594/understanding-media/,en,2026-09-11,excerpt,"原始 note: 章节链接由 MIT 站点提供；只用于第一章可直接核验的命题。；原始 locator_used: Chapter 1, “The Medium Is the Message”；其他 URL: https://web.mit.edu/allanmc/www/mcluhan.mediummessage.pdf；原始 access_status: selected_chapter_full_text；ISBN: 9780262631594"
GA05,official_record,Records of the Centre for Contemporary Cultural Studies,"Cadbury Research Library, University of Birmingham",,"Cadbury Research Library, University of Birmingham",,https://calmview.bham.ac.uk/Record.aspx?id=XUB/CCCS&src=CalmView.Catalog,en,2026-09-11,full_text,原始 note: 机构档案目录，适合支持CCCS成立、组织沿革、研究分组、跨学科范围和议题变化。；原始 locator_used: Administrative History；原始 access_status: full_catalogue_record
GA06,primary_scholarship,Making Sense of Audience Discourses: Towards a Multidimensional Model of Mass Media Reception,Kim Christian Schrøder,2000,"*European Journal of Cultural Studies*, 3(2)",10.1177/136754940000300205,https://doi.org/10.1177/136754940000300205,en,2026-09-11,abstract,"原始 note: 用于编码／解码模型的一维意识形态框架及经验受众复杂性之争；未用摘要之外的具体论证细节。；原始 locator_used: 摘要；原始 access_status: abstract；venue: *European Journal of Cultural Studies*, 3(2)"
GA07,scholarly_synthesis,Stuart Hall,Jessica Evans,2017,Wiley-Blackwell,,https://oro.open.ac.uk/50815/,en,2026-09-11,full_text,原始 note: 用于霍尔整体学术贡献的二手综述，不替代具体理论原著。；原始 locator_used: accepted manuscript pp. 1-4；原始 access_status: accepted_manuscript_full_text；container: *The Wiley Blackwell Encyclopedia of Social Theory*；editors: Bryan S. Turner; Chang Kyung-Sup; Cynthia F. Epstein; Peter Kivisto; J. Michael Ryan; William Outhwaite
GA08,official_record,Stuart Hall: Remembering Professor Stuart Hall (1932-2014),The Open University Digital Archive,,The Open University Digital Archive,,https://www.open.ac.uk/library/digital-archive/featured/221,en,2026-09-11,full_text,原始 note: 适合支持生卒年、开放大学任职时间、教学及机构评价。；原始 locator_used: 人物说明及“Professor of Sociology from 1979 to 1997”图像记录；原始 access_status: full_page
N-CN-01,scholarly_synthesis,中国传播学70年：知识、技术与学术网络,刘海龙,2019,广州大学学报（社会科学版），18(5)，106—114,,https://xb.gzhu.edu.cn/skb/CN/Y2019/V18/I5/106,zh-CN,2026-09-11,abstract,原始 access_status: abstract_and_metadata
N-CN-02,scholarly_synthesis,新闻传播学七十年发展回望与前瞻,胡智锋,2019,全国哲学社会科学工作办公室,,https://www.nopss.gov.cn/n1/2019/1125/c219470-31473381.html,zh-CN,2026-09-11,full_text,原始 access_status: full_text
N-CN-03,primary_scholarship,“我们”为何以“新闻”为起点——试析《我们对于新闻学的基本观点》的理论构造,朱至刚,2020,四川大学学报（哲学社会科学版），2020(2)，106—113,,https://journal.scu.edu.cn/info/1109/29940.htm,zh-CN,2026-09-11,abstract,原始 access_status: abstract_and_references
N-CN-04,primary_scholarship,中国新闻史研究的回顾与展望——方汉奇先生治学答问,方汉奇口述|王天根访问,2015,安徽大学学报（哲学社会科学版），39(2)，98—104,10.13796/j.cnki.1001-5019.2015.02.013,https://doi.org/10.13796/j.cnki.1001-5019.2015.02.013,zh-CN,2026-09-11,full_text,其他 URL: https://xwcb.ahu.edu.cn/_upload/article/files/76/f8/b25bee434262a40b42bb162ea968/a4bdf0c8-0324-4b41-b73c-e64aeaee4346.pdf；原始 access_status: full_text
N-CN-05,scholarly_synthesis,学人与学科：以方汉奇影响力为中心,刘泱育,2022,南京师范大学出版社,,https://www.sinobook.com.cn/b2c/scrp/bookdetail.cfm?iBookNo=1086412,zh-CN,2026-09-11,metadata,原始 access_status: catalog_metadata_and_description
N-CN-06,primary_scholarship,中国新闻史研究的书写转向与未来路径,蔡斐,2018,新闻与写作，2018(2)，49—52,,https://xwxz.cbpt.cnki.net/portal/journal/portal/client/paper/73e1f4cfd9ca32ccf355091f6c18514d,zh-CN,2026-09-11,abstract,原始 access_status: abstract_and_metadata
N-CN-07,primary_scholarship,中国新闻史研究的重校：马克思主义历史观视野下的新闻事业与社会发展,李杰琼,2019,新闻与传播评论，2019(1),,https://www.cssn.cn/xwcbx/__deleted_2022.12.31_13.46.18__xwcbx_xkqy/202208/t20220802_5440333.shtml,zh-CN,2026-09-11,abstract,原始 access_status: abstract_and_metadata
N-CN-08,primary_scholarship,“新闻”在何处？新闻史书写的“媒介实践”新进路,孙藜|罗喆,2023,青年记者，2023年5月“面向实践的新闻史研究”专题（卷期页码待核）；复旦大学信息与传播研究中心转载,,https://cics.fudan.edu.cn/02/e0/c40201a525024/page.htm,zh-CN,2026-09-11,full_text,原始 access_status: full_text_web_reprint
N-CN-09,scholarly_synthesis,砥砺深耕：2022年中国的新闻传播史研究,李兴博|刘欣欣,2023,新闻春秋，12(2)，29—40,,https://xwcq.ruc.edu.cn/CN/Y2023/V12/I2/29,zh-CN,2026-09-11,metadata,原始 access_status: metadata_and_review_excerpt
N-PR-01,official_record,About Public Relations,Public Relations Society of America (PRSA),,PRSA,,https://www.prsa.org/about/all-about-pr,en,2026-09-11,full_text,原始 access_status: full_text
N-PR-02,official_record,IPRA Code of Conduct,International Public Relations Association,2011,IPRA,,https://www.ipra.org/member-services/code-of-conduct/,en,2026-09-11,full_text,原始 access_status: full_text
N-PR-03,primary_scholarship,Defining Strategic Communication,Kirk Hallahan| Derina Holtzhausen| Betteke van Ruler| Dejan Verčič| Krishnamurthy Sriramesh,2007,"International Journal of Strategic Communication, 1(1), 3—35",10.1080/15531180701285244,https://doi.org/10.1080/15531180701285244,en,2026-09-11,abstract,其他 URL: https://www.tandfonline.com/doi/abs/10.1080/15531180701285244；原始 access_status: abstract_and_metadata
N-PR-04,official_record,PRSA Code of Ethics,Public Relations Society of America,,PRSA,,https://www.prsa.org/professional-development/prsa-resources/ethics,en,2026-09-11,full_text,原始 access_status: full_text
N-PR-05,scholarly_synthesis,Strategic communication theory: a systematic overview,Axel Pfleger,2026,"Annals of the International Communication Association, 50(1), 48—65",10.1093/anncom/wlaf025,https://doi.org/10.1093/anncom/wlaf025,en,2026-09-11,abstract,其他 URL: https://academic.oup.com/anncom/article-abstract/50/1/48/8371958；原始 access_status: abstract_and_metadata
N-PR-06,official_record,Barcelona Principles 4.0,International Association for Measurement and Evaluation of Communication (AMEC),2025,AMEC,,https://amecorg.com/wp-content/uploads/2025/06/Barcelona-Principles-V4.0-Ebook-FINAL-Compressed.pdf,en,2026-09-11,full_text,原始 access_status: full_text_pdf
NB01,primary_scholarship,The Structure and Function of Communication in Society.,"Lasswell, Harold D",1948,"In *The Communication of Ideas*, edited by Lyman Bryson. New York: Institute for Religious and Social Studies",,https://www.worldradiohistory.com/BOOKSHELF-ARH/Education/Mass-Communications-Schramm-1960.pdf,en,2026-09-11,abstract,原始定位与用途: “The Act of Communication” 五问与研究分工；当前 URL 为获准重印版本合集，正式并表宜另存原书馆藏记录。；原始 access_status: table_entry
NB02,primary_scholarship,A Mathematical Theory of Communication.,"Shannon, Claude E",1948,*Bell System Technical Journal* 27(3): 379–423; 27(4): 623–656,10.1002/j.1538-7305.1948.tb01338.x,https://doi.org/10.1002/j.1538-7305.1948.tb01338.x,en,2026-09-11,abstract,原始定位与用途: Introduction；Figure 1；noisy channel。支持工程范围、系统组件、噪声与容量。；原始 access_status: table_entry；其他 URL: https://doi.org/10.1002/j.1538-7305.1948.tb00917.x
NB03,primary_scholarship,How Communication Works.,"Schramm, Wilbur",1954,"In *The Process and Effects of Mass Communication*, edited by Wilbur Schramm, 3–26. Urbana: University of Illinois Press",,https://books.google.com/books?id=9VpiAAAAMAAJ,en,2026-09-11,abstract,原始定位与用途: 章节目录及 source/message/destination、field of experience、feedback、多重渠道。；原始 access_status: table_entry
