source_id,title,creator,organization,year,url,source_type,evidence_level,evidence_status,regions_supported,claims_supported,accessed_at,notes
G11,"McQuail's Media and Mass Communication Theory 7th edition contents","Denis McQuail and Mark Deuze","SAGE",2020,"https://us.sagepub.com/sites/default/files/upm-assets/113187_book_item_113187.pdf",handbook_background,B-synthesis,partial,"2|3|4|5|8","理论、结构、组织、内容、受众、效果的纵向链条",2026-09-11,"用于范围背景，不能作为统一课程标准"
G12,"Theories of Human Communication 13th edition","Stephen W. Littlejohn et al.","Waveland Press",2026,"https://waveland.com/browse.php?t=270",handbook_background,B-synthesis,partial,"1|2|3|4|5|6|7","传播者、信息、媒介、关系、组织、健康、文化、社会与非人传播",2026-09-11,"出版社目录证据"
G13,"A Handbook of Media and Communication Research 3rd edition","Klaus Bruhn Jensen","Routledge",2021,"https://www.routledge.com/A-Handbook-of-Media-and-Communication-Research-Qualitative-and-Quantitative-Methodologies/Jensen/p/book/9781138492899",handbook_background,B-synthesis,partial,"2|3|4|8","人文与社会科学源流、组织文本用户语境及多元方法",2026-09-11,"出版社目录证据"
G14,"Media and Information Literate Citizens: Think Critically Click Wisely","UNESCO","UNESCO",2021,"https://www.unesco.org/en/articles/media-and-information-literate-citizens-think-critically-click-wisely",normative_framework,A-primary,partial,"4|6|7|8","媒体信息与数字素养、AI、数字公民、虚假信息与仇恨言论",2026-09-11,"跨区应用能力来源"
G15,"Reporting on Artificial Intelligence: A Handbook for Journalism Educators","UNESCO","UNESCO",2023,"https://unesdoc.unesco.org/in/documentViewer.xhtml?ark=/ark:/48223/pf0000384551",normative_framework,A-primary,partial,"5|7|8","AI定义、文化神话、政策、算法文化、恶意使用与负责任报道",2026-09-11,"AI既是工具也是报道与治理对象"
C01,"教育部发布我国高等教育领域首个教学质量国家标准","教育部","中华人民共和国教育部",2018,"https://www.moe.gov.cn/jyb_xwfb/xw_fbh/moe_2069/xwfbh_2018n/xwfb_20180130/sfcl/201801/t20180130_325920.html",normative_framework,A-primary,verified,"1|2|3|4|5|6|7|8","本科专业类国家标准的发布、作用与课程体系定位",2026-09-10,"教育部正式说明；具体新闻传播课程须结合标准正文"
C02,"普通高等学校本科专业类教学质量国家标准（上）","教育部高等学校教学指导委员会","高等教育出版社",2018,"https://xuanshu.hep.com.cn/front/book/findBookDetails?bookId=5aa808c4f18f967ee7f36bde",normative_framework,A-primary,partial,"1|2|3|4|5|6|7|8","新闻传播学类标准的正式出版信息",2026-09-10,"具体页码使用高校镜像时需与正式出版信息联合"
C03,"普通高等学校本科专业类教学质量国家标准（上）PDF镜像","教育部高等学校教学指导委员会","南昌大学镜像",2018,"https://shpg.ncu.edu.cn/docs/2024-03/52ff1e86364649e1b238a339a7f3e1ab.pdf",normative_framework,A-primary,partial,"1|3|4|5|7|8","新闻学、传播学、新媒体、历史、伦理法规、方法、舆论、效果与受众等课程细目",2026-09-10,"非教育部原始托管地址，须与C01和C02交叉使用"
C04,"卓越新闻传播人才教育培养计划2.0","教育部 中共中央宣传部","中华人民共和国教育部",2018,"https://www.moe.gov.cn/srcsite/A08/s7056/201810/t20181017_351893.html",normative_framework,A-primary,partial,"3|5|6|7|8","家国情怀、国际视野、全媒化、复合型、媒体融合和中国表达",2026-09-10,"政策目标不能直接当作解释性理论"
C05,"普通高等学校本科专业目录（2025年）","教育部","中华人民共和国教育部",2025,"https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/W020250422312780837078.pdf",normative_framework,A-primary,partial,"5|7|8","新闻传播学类法定专业边界",2026-09-10,"只支持专业边界，不支持理论定义"
C06,"清华大学新闻学专业本科培养方案","清华大学","清华大学",2020,"https://www.tsinghua.edu.cn/jxjywj/bkzy2020_60.pdf",curriculum_current,A-primary,partial,"1|3|5|6|7|8","传播原理、新闻传播史、调查统计、伦理法规、数字技术、跨文化与国际新闻",2026-09-10,"版本较早，需留意更新方案"
C07,"中国人民大学新闻学院系部介绍","中国人民大学新闻学院","中国人民大学",2026,"https://jcr.ruc.edu.cn/xygk/xbjs/index.htm",curriculum_current,A-primary,partial,"3|4|5|7|8","传播理论、数字媒体、公共传播、舆论、计算传播、文化产业与事实核查",2026-09-10,"院系研究覆盖，不等同于本科必修"
C08,"新闻传播学类专业2+X教学培养方案","复旦大学新闻学院","复旦大学",2022,"https://xwxy.fudan.edu.cn/_upload/article/files/24/1f/8337f248464082eab37f15e93de6/896c78f5-e2c5-4d7a-ae9a-78798a9dc973.pdf",curriculum_current,A-primary,verified,"1|2|3|4|5|6|7|8","新闻传播史论、方法、伦理、融合、数据、传播学各层次及丰富专题",2026-09-11,"已打开23页PDF并核对课程表"
C09,"传播学本科培养方案","新闻传播学院","北京师范大学",2026,"https://sjc.bnu.edu.cn/rcpy/bkspy/112701.html",curriculum_current,A-primary,partial,"1|3|4|5|7|8","传播理论、方法、受众、伦理、新媒体、社交媒体、数据新闻与网络数据挖掘",2026-09-10,"大学正式页面"
C10,"新闻传播学类国际传播智能传播试验班培养方案","新闻与传播学院","武汉大学",2025,"https://journal.whu.edu.cn/uploadfiles/20260331v2b1q.pdf",curriculum_current,A-primary,partial,"3|5|6|7|8","人智交互、机器学习、大语言模型、计算传播、数据伦理、政治与跨文化传播",2026-09-10,"动态课程需保留学年"
C11,"传播学专业介绍","中国传媒大学新闻学院","中国传媒大学",2026,"https://xinwenxueyuan.cuc.edu.cn/rcpy/list.htm",curriculum_current,A-primary,partial,"1|3|4|7|8","人际传播、统计、社会科学方法、新媒体与社会、平台化环境",2026-09-10,"大学正式页面"
C12,"中国新闻史学会分支机构","中国新闻史学会","中国新闻史学会",2026,"https://www.jca-china.org/html/about/branch/",discipline_taxonomy,A-primary,partial,"2|3|4|5|6|7|8","传播、舆论、公共关系、经济、法规伦理、国际、符号、计算、健康、少数民族及海外华文等研究领域",2026-09-10,"学会设分支不等于领域已有成熟统一理论"
C13,"中国新闻传播大讲堂","中宣部 教育部 中国记协指导","中国传媒大学",2026,"https://tvs.cuc.edu.cn/xwcbdjt/list.htm",curriculum_current,A-primary,partial,"5|6|7|8","马克思主义新闻观、国情、伦理、融合报道与一线实践",2026-09-10,"教学案例节点"
C14,"传播学概论","胡正荣等","高等教育出版社",2026,"https://www.hep.com.cn/book/show/68cffdab-d135-463e-b45d-654d5b9a2490",handbook_background,B-synthesis,partial,"1|2|3|4|5|7","传播史、经典理论、过程、媒介、受众、效果、产业与前沿",2026-09-10,"本科教材目录"
C15,"中国新闻传播史","教材编写组","高等教育出版社",2021,"https://xuanshu.hep.com.cn/front/book/findBookDetails?bookId=5efa23cab0b2bda7c523cbcb",handbook_background,B-synthesis,partial,"5|6","古代至改革开放及港澳台新闻传播史的教学范围",2026-09-11,"官网当前显示出版时间2021-08-26、ISBN 978-7-04-054419-0；已核简介与目录，具体人物节点仍需史料"
C16,"理论谱系与本土探索：新中国传播学理论研究70年","刘涛","新闻与传播研究",2019,"https://www.cssn.cn/xwcbx/__deleted_2022.12.31_13.46.18__xwcbx_xkqy/202208/t20220802_5440270.shtml",discipline_history,B-synthesis,partial,"1|2|3|6","中国传播学的译介、发展、批判与本土探索；十六字方针和华夏传播线索",2026-09-10,"学术史综述；本土理论成熟度需展示争议"
